,Monit_MAP_CODE1,Year,LAKE_NAME,Mean_Secchi_Depth_Result,Mean_Phosporus_Result,Mean_EMV_Total,STD_EMV_Total,Mean_Sale_Value,STD_Sale_Value,Mean_Total_Tax,STD_Total_Tax,Mean_Garage_Size,STD_Garage_Size,Mean_Fin_SQ_FT,STD_Fin_SQ_FT,Percentage_Yes_Basement,Percentage_Yes_Garage,Percentage_Yes_Tax_Exempt,Percentage_Air_Cooling,Percentage_AC_Cooling,Percentage_Central_Cooling,Percentage_Other_Cooling,Percentage_No_Cooling,Percentage_Air_Heating,Percentage_Space_Heating,Percentage_Water_Heating,Percentage_Electric_Heating,Percentage_Other_Heating,Percentage_No_Heating
129,19002500-01,2006,Keller Lake,1.244230769230769,0.08030769230769232,291367.68060836504,168676.0041048031,131922.20701309675,140055.1015703047,3030.112378538234,1547.5113960017916,,,2204.457963667089,1068.3476651095204,0.0,0.0,2.3658639628221376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,19002500-01,2005,Keller Lake,1.578571428571428,0.05642857142857143,271641.19138149556,151662.1396536661,125527.63160118293,136155.32557079894,2524.7253907900295,1321.9956627518673,,,2185.3392479932404,1058.0994610115865,0.0,0.0,2.3658639628221376,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,19002500-01,2004,Keller Lake,1.5199999999999998,0.039733333333333336,248076.89713322092,141361.92977374044,117040.44856661046,130987.45739419093,2338.8933389544686,1282.3445557593654,,,2171.247892074199,1067.000276940412,0.0,0.0,2.360876897133221,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,19002601-01,2014,Marion Lake,2.4214285714285717,0.019142857142857145,293506.8369784966,410720.01258766494,188541.0520124977,166107.2694915374,3873.3495680941005,9017.905905131694,487.03528763095017,290.4140170998699,2469.419224407278,3762.5676250212823,0.0,82.59511119279544,4.87042823010476,82.81565888623415,0.07351589781290203,0.6432641058628928,1.3600441095386877,0.27568461679838263,84.02867120014703,0.2021687189854806,0.6616430803161184,0.0,0.23892666789193162,0.03675794890645102
133,19002601-01,2013,Marion Lake,1.9923076923076921,0.023923076923076922,279123.45049130765,405221.74667276343,189883.05026455026,165547.19197855648,3727.887755102041,9044.466825307994,494.78514739229024,286.75402632665885,2473.834089191232,3611.1369443266026,0.0,83.7490551776266,4.81859410430839,83.93801965230536,0.07558578987150416,0.6613756613756614,1.3605442176870748,0.3212396069538927,85.14739229024943,0.20786092214663643,0.6802721088435374,0.0,0.2834467120181406,0.03779289493575208
134,19002601-01,2012,Marion Lake,1.9642857142857142,0.02857142857142857,264786.5128493716,405804.85294716904,182226.8726317764,164778.669006659,3744.177265053461,8414.441970725251,556.2569820307426,241.94900387664575,2400.76533483399,3615.3915239138837,0.0,81.52316638529356,4.7083098855749395,81.56068279872444,0.07503282686175201,0.6565372350403301,1.3881072969424124,0.3376477208778841,82.76120802851248,0.22509848058525606,0.6752954417557682,0.0,0.31888951416244604,0.03751641343087601
135,19002601-01,2011,Marion Lake,1.8821428571428573,0.031785714285714285,279578.6278195489,405778.51320458873,113946.9697368421,164275.4015499436,3711.2464285714286,8006.444472097318,556.9582422387407,241.3300610023086,2364.4315789473685,3510.00520632508,0.0,80.84586466165413,4.680451127819548,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,19002601-01,2010,Marion Lake,1.5566666666666669,0.038533333333333336,277172.6311953353,402973.4016082441,168944.88684402333,159177.58801193166,3635.6475947521867,8004.601443532979,,,2221.4344023323615,2915.837124274751,0.0,0.0,4.5371720116618075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,19002601-01,2009,Marion Lake,1.8966666666666667,0.047866666666666675,299914.0200546946,421941.38829384226,167081.76937101185,159292.3177464339,3523.9161349134,6260.687922929218,,,2304.0264357338197,4432.690181554995,0.0,0.0,4.539653600729262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,19002601-01,2008,Marion Lake,2.0366666666666666,0.04033333333333334,318644.33704176545,419956.87752506556,165124.0443188036,158796.37362418108,3478.0209739193874,5875.513918770491,,,2305.731351449936,4602.083857761717,0.0,0.0,4.577785883640343,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
